Caris LeVert|31|7.4|2.0|2.7|0.9|0.7|0.417|0.333|0.679
Cameron Payne|31|7.4|2.0|2.6|1.1|0.3|0.376|0.33|0.864
Jamir Watkins|24|7.4|3.9|1.3|1.1|0.5|0.446|0.297|0.695
Kris Dunn|31|7.3|3.3|3.6|1.6|0.2|0.476|0.374|0.765
Nikola Jovic|22|7.3|3.3|2.2|0.6|0.4|0.366|0.269|0.683
Kobe Sanders|23|7.3|2.3|1.6|0.7|0.1|0.466|0.408|0.826
Jalen Slawson|26|7.3|4.4|2.8|1.5|1.1|0.442|0.375|0.706
Terance Mann|29|7.2|3.2|3.0|0.7|0.2|0.457|0.364|0.788
Pat Spencer|29|7.2|2.4|3.5|0.7|0.1|0.427|0.357|0.772
Julian Strawther|23|7.2|2.0|1.1|0.4|0.1|0.467|0.387|0.814
Jaylin Williams|23|7.2|5.5|2.4|0.5|0.6|0.423|0.383|0.793
Leaky Black|26|7.1|5.0|1.5|1.2|0.5|0.388|0.345|0.875
Seth Curry|35|7.1|1.2|1.0|0.3|0.0|0.49|0.48|0.917
Ben Sheppard|24|7.1|3.0|1.8|0.6|0.1|0.434|0.362|0.765
Lawson Lovering|22|7.0|7.5|1.5|1.5|0.5|0.6|0.0|0.4
Ethan Thompson|26|7.0|2.2|1.8|0.6|0.3|0.378|0.328|0.787
Grant Williams|27|7.0|3.9|1.6|0.5|0.5|0.426|0.388|0.815
Patrick Williams|24|7.0|3.0|1.5|0.7|0.4|0.372|0.347|0.72
